[欧美私人订制] 最懂你的欧美推荐 每日更新35首,欧美,介绍：收藏专属于你的欧美日推每天和喜欢的欧美音乐不期而遇,172万,118600800,35,15913
Kanye West 代表作,说唱-欧美,介绍：Kanye West 到目前为止至少改变了嘻哈3次。这是一位嘻哈界的奇才。制作人出身的 Kanye West，在为 Jay Z 操盘制作了现在被奉为嘻哈圣经之一的专辑「The Blue Print」之后，获得了灌制自己第一张专辑的机会。从「The College Dropout」到「ye」，Kanye 不仅每张专辑都能获得商业和口碑的双成功，而且这个成就是建立在一个不可思议的基础上：每个专辑都是对上个专辑的革命。本歌单是我自己认为作为一个没听过 Kanye West 的音乐的人，一定要听的音乐组成的入门歌单。然而矛盾的是，我很反感网易云音乐对于「专辑」这个概念的处理（所以我更多得在用Apple Music)。 专辑是一个音乐人对于想法的完整构建。一张好的专辑是一个有机的整体（包括封面），而不是由一个一个单曲（尽管可能都很好听）组成的歌单。歌单适合让你快速入门，但你要好好听音乐必须要完整得听一遍专辑。「My Beautiful Dark Twisted Fantasy」是我为你推荐的入门专辑。找个安静的地方，或带着耳机，或连着音箱，别快进也别跳歌，从头到尾仔细听一遍，你就能发现几个这样的「代表作」、「精选集」所不能给你的感受。Inspired by Apple Music， created by Softpi2019/8/5,1225,66623,29,253
请随机播放，切歌算你赢,说唱-欧美,介绍：RIP JUICE WRLD & KOBE BRYANT,85471,3569252,477,1099
Apple 苹果产品宣传广告 (BGM),欧美-流行-运动,介绍：Apple 苹果公司产品宣传广告BGM经典曲目收录。iPhone《Secrets》~4《Rill Rill》~5c《Sing to Me》~7 Plus《Area》~8 (Plus)《Batshit》~8 (Plus) RED《Best Firend》~X《All Night》~X《Back Pocket》~X《Brazooka》~11《Dream Dream Dream》~11iPad《Unbelievers》~Air 2《Feel It Still》~Pro 2017《Voilà》~Pro 2018Macbook《New Soul》~Air《Trampoline》~Air 2018Watch《Invincible》~Series 3《Misbehaving》~Series 3 + Apple Music《Supernova》~Series 4《Hokey Pokey》~Series 4《move!》~Series 5Other《Down》iPhone 7 + AirPods《Place》AirPods《Til is over》HomePod《Bad Blood》Apple Music《Jumpman》Apple Music《Flirting With June》了不起的设计2019,3872,169737,26,30
New School Hiphop/R&B,欧美-说唱-R&B/Soul,介绍：封面:3xtentacion,318,14308,300,1
〖提神醒脑，抗疲劳〗燃说唱\持续更新,欧美-另类/独立-说唱,介绍：遇到这种喜欢的恰好评论也很少的歌 就像是找到一个对眼又很少性经验的女朋友。,36976,1827254,75,225
『WayMen — Rap Beat说唱伴奏』,欧美-说唱-R&B/Soul,介绍：收藏这个歌单你失去的东西不会回来也没有好事会发生你喜欢的人还是不会喜欢你但是起码，有我的音乐会陪你希望你以后听到Wechat的铃声能想起WayMen歌单风格：Old School、R&B、Emo、Jazz、LoFi、Trap更新频率一星期：1～3次,330,10326,25,24
欧美‖任何瞬间的心动都不要怠慢了它,欧美-浪漫-流行,介绍：在音乐的海洋中，感受浪漫气息;品味每一首歌带来的甜蜜独特性.虽只是寥寥几句，却谱写出人生中重要的某个阶段.（文字:ClairoNews）一起来聆听吧！创建日期:5月9日封面: Camila Cabello & Shawn Mendes（本歌单禁复制）感谢@没事就吃溜溜霉对本歌单提出的建议!!感谢支持!!!,38777,2335614,175,206
节奏强心剂｜一秒入耳的白人Rapper,欧美-说唱-R&B/Soul,介绍：为你盘点那些优质白人rapper。总说对黑人而言，说唱似乎是与生俱来的天赋，really?单主歌单这些白人说唱歌手应该会Say no and that's bullsh*t ! ! !说唱音乐在经过几十年的发展，在其发源地美国已成为美国乐坛的重要组成部分，越来越多除黑皮肤外的肤色投身于说唱事业，使得Hiphop文化拥有不同的声音与视角。而随着说唱文化的发展及进化，似乎慢慢的，再也不是金钱、性、毒品等字眼充斥着市场，越来越多的优质说唱作品，映射社会现实的敏感话题、讽刺歧视、为儿童及弱势群体发声、自我批判发人深省等等。btw，白人说唱自Beastie boys、Eminem等之后开始发光发热，引领白人说唱，到达新的里程碑。封面：MGK（枪爷）歌单歌手：EminemPost MaloneIggy Azalea宝藏rapper:NF/ Russ(必听)MGKG-EasyHoodie AllenBubba SparxxxIII BillMac MillerCal ScrubyAtmosphereSlim JesusFat JoeMacklemoreSteven CooperVanilla IceJake MillerHouse of painNik&JayBeastie BoysLil DickyManafestJ-5Bizzy BoneBrother AliCe*aNecroImmortal TechniqueRhyme AsylumSlaine7L&Esoteric360YelawolfDevlinEvelastBernerAlldayJon YoungConvolkRittzTokenAction BronsonPlan BLil Peep3rd BassTom MacDonaldProfessor GreenPaul WallMr.J.MedeirosDeckwreckaEl-PBlackbearLil CueteYung Gravy,17796,1257320,142,110
社会人摇头必备嗨曲（极嗨）,电子-舞曲-欧美,介绍：软中华，硬玉溪，头发越短越牛逼！,44万,29668712,294,1356
橙光——《禁忌之城》歌单,欧美-游戏,介绍：橙光游戏《禁忌之城》歌单。部分歌曲无法识别或无版权因此不呈现在歌单内。,741,22174,50,43
[英文]简单易学的英文歌适合初学者,欧美-放松-流行,介绍：[需要一些词汇量，五年纪到初中都可以]学习英文歌不是一天两天，肯定会有一些生词在歌曲里，不要怕麻烦，加油＾０＾~。可以借鉴一下歌单顺序是根据难易程度排的，big big world 是最简单的。,1885,68614,25,19
豪车专用,欧美-酒吧-驾车,介绍：戴上耳机享受 容易上瘾 注意自己的身体,301,8129,127,评论
女友嗓 | 接个吻，开一枪,欧美-浪漫-性感,介绍：女声的极致诱惑，耳膜的极致享受甜蜜的唇齿，꒰⌗´͈ ᵕ ॣ`͈⌗꒱৩，融化,11753,839515,69,85
小丑女哈利奎因bgm,欧美-流行-影视原声,介绍：小丑女 哈利奎因来自DC电影有:自杀小队（2016）、猛禽小队和哈利奎因（2020）、自杀小队2（2021）扮演者:玛格特罗比,699,12439,30,3
2020,华语-欧美-流行,介绍：未来可期,3181,143395,65,12
北方的烈阳专属歌单（持续更新）,欧美,介绍：dy：北方的烈阳ks：北方的烈阳-ST,818,15471,88,12
关上门 就让我在你怀里沉溺.,欧美-浪漫-性感,介绍：有些人挺惨的 一辈子都遇不到真正的爱情 遇到的全是荷尔蒙.,334,13052,72,评论
抱歉 我天生很酷 走路带风,欧美-流行-兴奋,介绍：你永远不知道一个表面文静的人耳机里听的是什么上头的歌抱歉 我天生很酷 走路带风,3632,126477,26,36
兜 风 听 什 么,欧美-流行-驾车,介绍：这是一个开车用的歌单鼓点超重 ber有排面,58536,2593359,153,308
电影故事｜唯愿音乐慰藉心灵,欧美-治愈-影视原声,介绍：音乐里藏着慰藉心灵的魔力，而在音乐类型电影中出现歌曲/配乐伴着光影画面，这种力量更是如此。由于绝大多数的关于音乐的电影都有着一个令人悲伤的内核，或是正处人生迷茫，或是无奈情感低谷。也正因为如此，此类电影的魅力所在也多为励志与治愈。.本期歌单挑选了21部音乐电影，以及影片中出现的25电影歌曲（原声/插曲）。歌单封面：选自电影剧照《再次出发之纽约遇见你》下面是部分影片中令人难以忘却的电影台词：《再次出发之纽约遇见你》：这就是我为什么喜爱音乐，最平常的画面一瞬间充满了很多意义。这些所有的平常画面，美好、如同瑰丽的珍珠，这一切都源自音乐。《八月迷情》：世人不时的践踏你的梦想，但我相信那旋律是真的，就像有些人相信童话是真的。《寻找小糖人》：人们贫穷、没有什么家产，并不代表他们梦想就不大。选曲电影 按歌单顺序排列：1 《曾经》2 《再次出发之纽约遇见你》3 《初恋这首情歌》4 《K歌情人》5-7 《一个明星的诞生》8 《名扬四海》9-10 《爱乐之城》11 《海盗电台》12 《寻梦环游记》13 《破碎之家》14-15 《醉乡民谣》16 《八月迷情》17 《音乐永不停歇》18 《乡谣情缘》19 《寻找小糖人》20 《无人引航》21 《几近成名》22 《弗兰克》23 《疯狂的心》24 《海上钢琴师》25 《如晴天似雨天》.,37657,2158852,25,115
优质冷门 | Hospital厂牌精选歌曲,欧美-电子-放松,介绍：本歌单是英国的著名Drum&Bass（简称D&B）厂牌Hospital Records近期的精选歌曲。选取了较轻松且旋律性的D&B，适合学习、放松时收听。Hospital Records是来自伦敦的独立音乐厂牌，由Tony Colman（London Elektricity）和Chris Goss建立于1996年，主要发布Drum&Bass风格的歌曲。近几年逐渐被更多的人认识，并开始被英国舞曲圈所熟知。Drum&Bass是以鼓和贝斯为主的电子舞曲，音乐常常由于无节制的 loop 搞的气氛密幻，音色走低频震撼路线。 一般来说，Drum&Bass沿自jungle，节奏上比jungle单调些，但大多的Drun&Bass采用了大量的vocal， 特别是女声，因此较不会给人一般电子乐那种冷冰冰的疏离感。歌单持续更新！,108,43355,30,1
春日初告白 | 温暖男声，流进心底的阳光,欧美-浪漫-清新,介绍：春天是一个充满幻想与爱意的季节，万物复苏，日光明媚，最适合发展起一段暧昧缠绵的爱恋，迎着日出起，和树木一起发芽，一天天生长，一点点懵懂中坚固，今年的春天格外特殊，好多人期待它的到来，希望一阵风，吹走疾病，吹走不愉快，吹来你对我的思念，唱着这样的歌曲，流进心里，变成阳光，温暖我。,10672,777574,30,305
The Score丨让我们产生共鸣的音乐,欧美-流行-摇滚,介绍：Here are some of our recent favorite songs， these can set up resonances and give new inspiration，hope you like it这里有我们近期很喜欢的一些作品，他们能够带来共鸣，并给予全新的灵感，希望你们喜欢,1217,31221,33,39
Rosé,韩语-欧美,介绍：blackpink·Rosé,389,23753,54,8
欧美原声丨躲藏在音乐里的电影情节,欧美-影视原声,介绍：每当看电影时，听到一首好歌都要拿出手机听歌识曲，就仿佛与一位旧友重逢，勾起一段段回忆。不知此时听歌的你，是否也是这种心情呢?部分电影介绍:《Lost Stars》是一首由Adam Levine演唱的歌曲，出自《歌曲改变人生》（Begin Again）是一部2013年爱尔兰导演约翰·卡尼编剧并执导的美国音乐浪漫剧情片！Heathens是电影《X特遣队》的背景音乐之一，影片的结尾，小丑从监狱里救出了小丑女，抱着她说“我们回家吧”，这个时候就响起了Heathens的片尾曲，这是个比较经典的电影镜头。Love MeLike You Do（爱我随你所欲）是歌手Ellie Goulding为电影五十度灰所演唱的主题曲shape of my heart写的就是杀手里昂电影中的里昂，用一副牌的黑桃梅花方片红桃分别代表战士战争权利和爱，在女主没出现之前，他冷血果敢就像歌词所写的他打纸牌如深深冥想从不迟疑，不为金钱也不为所谓的尊严他是在找答案，关于自己关于人生。Linkin Park为《变形金刚2》创作并献声的主题歌《New Divide》（关于New Divide这个名字的含义，官方说法是暗指威震天的复活）《Almost Lover》是由A Fine Frenzy18岁时有感而发所创作的，是《One Cell In The Sea》这张专辑里的首发单曲。这首爱恋挽歌除了在欧洲引起广大回响，更在斯洛维尼亚Slovenia夺下冠军宝座，更被MTV真人实境节目【The Hills】，以及知名电视剧【Big Shots】，不约而同地选作配乐；并作为插曲出现在电影《梦游》及汤唯廖凡主演的电影《命中注定》中。500 miles此曲由美国民谣歌手Hedy West创作，并于1961年率先发行在民歌三重唱The Journeymen(旅行者)的同名专辑中，后有日本摇滚歌神忌野清志郎改编日文版的500 miles，被松隆子和忌野清志郎本人唱过。值得注意的是，应区别于Bobby Bare的《500 miles away from home》。 2013年Justin Timberlake联手Carey Mulligan和Stark Sands在主演新片Inside Llewyn Davis《醉乡民谣》中深情献唱主题曲,49814,2603064,46,287
橙光游戏《朱砂》歌单,韩语-华语-欧美,介绍：注明 歌曲《cry baby》在游戏里是伴奏歌曲《Betrayal》歌手 韩国群星 网易云无版权歌曲《痴情司》 歌手 丹丹 网易云无版权歌曲《너를 사랑하고 있어 (MY LOVE)》歌手 边伯贤 网易云无版权,6029,225866,35,363
最甜女声，每首都让人陶醉,流行-欧美-工作,介绍：百首燕语莺声，两耳陶然而醉。（持续更新）,58432,4043754,115,990
美剧良医【S1】the Good Doctor,欧美-流行-影视原声,介绍：每集末尾的插曲都恰到好处，也超级好听(具体集数歌名请往下看)【S0102】Take Care- Beach house（其他平台可搜到beach house演唱的）【S0103 】Build it Better-Aron Wright【S0104】 There's Nothing Holdin' Me Back-Shawn Mendes【S0105】 When you walk away- Rogue Wave(XM有这首）【S0106】Senti Sun- Mykl Lozin（找不到)， I won't let you down-Erin McCarley【S0107】Kennedy- Donovan Woods、Shine a light-Banners【S0108】 If ever there's a reason- Derby I'll be your mirror-Clem Snide(找不到）【S0109】 Sons and Daughters-Allman Brown【S0111】 Get up Get on- Jill Andrews，14 faces-Lewis Del Mar【S0112】Break apart-Bonobo/Rhye， Someone to stay - Vancouver【S0113】 Broken-Patrick Watson【S0114】Rivers And roads - The head And the heart【S0115】 This heart's on fire-Wolf Parade，Smooth Sailin'-Leon Bridges， Severing Ties- Young Summer【S0116】Wait- M83【S0117】 Tough- Amy stroup&K.S Rhoads(还没找到）【S0118】Your smiling face-James Taylor,463,6924,17,15
